Faculty,HA 1,HA 2,HA 3,HA 4,HA 5,HA 6,HA 7,HA 8,HA 9,HA 10,HA 11,HA 12,HA 13,HA 14,HA 15,HA 16,HA 17,HA 18,HA 19

Faculty of Arts and Humanities,645,723,640,432,744,673,794,610,690,782,210,650,95,716,672,254,666,667,646

Faculty of Social and Historical Sciences,545,672,539,541,692,582,689,484,609,770,315,550,176,669,610,331,607,583,549

Faculty of Brain Sciences,261,297,265,295,375,292,369,255,293,363,163,271,81,313,315,118,337,270,304

Faculty of Life Sciences,167,223,162,190,227,213,207,136,208,219,133,172,87,205,189,131,181,168,164

Faculty of the Built Environment,320,380,313,297,432,355,400,305,374,423,142,330,41,388,352,155,334,334,318

School of Slavonic and Eastern European Studies,54,64,54,48,62,60,67,51,58,67,15,54,5,61,56,27,58,55,56

Institute of Education,474,516,471,459,573,488,558,449,511,591,162,471,64,536,513,328,513,486,507

Faculty of Engineering Sciences,469,547,461,439,622,557,589,450,557,637,181,501,56,572,517,189,495,487,465

Faculty of Mathematical and Physical Sciences,244,262,237,199,319,294,295,231,260,334,82,247,23,281,264,59,256,253,247

Faculty of Medical Sciences,232,280,217,233,304,270,311,219,269,323,81,251,61,321,247,114,246,227,222

Faculty of Population Health Sciences,189,211,175,188,215,185,225,159,208,230,82,178,53,219,209,110,211,187,192
